::ffff:127.0.0.1 - - [22/Apr/2022:17:06:01 +0000] "POST /launches HTTP/1.1" 400 45 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:06:01 +0000] "POST /launches HTTP/1.1" 400 31 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:07:21 +0000] "GET /launches HTTP/1.1" 200 1180 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:07:21 +0000] "POST /launches HTTP/1.1" 201 106 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:07:21 +0000] "POST /launches HTTP/1.1" 400 45 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:07:21 +0000] "POST /launches HTTP/1.1" 400 31 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:07:56 +0000] "GET /launches HTTP/1.1" 200 1376 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:07:56 +0000] "POST /launches HTTP/1.1" 201 106 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:07:56 +0000] "POST /launches HTTP/1.1" 400 45 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:07:56 +0000] "POST /launches HTTP/1.1" 400 31 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:52:18 +0000] "GET /launches HTTP/1.1" 200 1572 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:52:19 +0000] "POST /launches HTTP/1.1" 201 106 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:52:19 +0000] "POST /launches HTTP/1.1" 400 45 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:52:19 +0000] "POST /launches HTTP/1.1" 400 31 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:52:40 +0000] "GET /launches HTTP/1.1" 200 1768 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:52:40 +0000] "POST /launches HTTP/1.1" 201 106 "-" "-"
::ffff:127.0.0.1 - - [22/Apr/2022:17:52:40 +0000] "POST /launches HTTP/1.1" 400 45 "-" "-"
